image,actual,predicted,is_correct
1 (16).jpg,No Impairment,Mild Impairment,False
1 (21).jpg,No Impairment,Mild Impairment,False
1 (28).jpg,No Impairment,No Impairment,True
1 (33).jpg,No Impairment,No Impairment,True
1 (35).jpg,No Impairment,Mild Impairment,False
1 (47).jpg,No Impairment,No Impairment,True
1 (56).jpg,No Impairment,No Impairment,True
1 (57).jpg,No Impairment,Very Mild Impairment,False
1 (59).jpg,No Impairment,Very Mild Impairment,False
1 (64).jpg,No Impairment,Very Mild Impairment,False
1 (68).jpg,No Impairment,No Impairment,True
1 (72).jpg,No Impairment,Moderate Impairment,False
1 (73).jpg,No Impairment,Moderate Impairment,False
1 (74).jpg,No Impairment,Mild Impairment,False
1 (77).jpg,No Impairment,Very Mild Impairment,False
1 (82).jpg,No Impairment,No Impairment,True
1 (87).jpg,No Impairment,Mild Impairment,False
1 (9).jpg,No Impairment,Moderate Impairment,False
1 (93).jpg,No Impairment,Moderate Impairment,False
10 (14).jpg,No Impairment,Mild Impairment,False
10 (16).jpg,No Impairment,Very Mild Impairment,False
10 (21).jpg,No Impairment,Very Mild Impairment,False
10 (23).jpg,No Impairment,Mild Impairment,False
10 (29).jpg,No Impairment,No Impairment,True
10 (34).jpg,No Impairment,No Impairment,True
10 (42).jpg,No Impairment,Mild Impairment,False
10 (43).jpg,No Impairment,Mild Impairment,False
10 (46).jpg,No Impairment,Very Mild Impairment,False
10 (50).jpg,No Impairment,Mild Impairment,False
10 (52).jpg,No Impairment,Mild Impairment,False
10 (6).jpg,No Impairment,No Impairment,True
10 (61).jpg,No Impairment,Very Mild Impairment,False
10 (67).jpg,No Impairment,Moderate Impairment,False
10 (73).jpg,No Impairment,Moderate Impairment,False
10 (80).jpg,No Impairment,Mild Impairment,False
10 (9).jpg,No Impairment,Mild Impairment,False
10 (90).jpg,No Impairment,Mild Impairment,False
11 (10).jpg,No Impairment,Mild Impairment,False
11 (2).jpg,No Impairment,Moderate Impairment,False
11 (20).jpg,No Impairment,Mild Impairment,False
11 (27).jpg,No Impairment,No Impairment,True
11 (30).jpg,No Impairment,Mild Impairment,False
11 (31).jpg,No Impairment,Mild Impairment,False
11 (33).jpg,No Impairment,No Impairment,True
11 (41).jpg,No Impairment,No Impairment,True
11 (44).jpg,No Impairment,No Impairment,True
11 (51).jpg,No Impairment,No Impairment,True
11 (52).jpg,No Impairment,Mild Impairment,False
11 (54).jpg,No Impairment,Very Mild Impairment,False
11 (55).jpg,No Impairment,Very Mild Impairment,False
11 (60).jpg,No Impairment,Mild Impairment,False
11 (63).jpg,No Impairment,Moderate Impairment,False
11 (64).jpg,No Impairment,Mild Impairment,False
11 (66).jpg,No Impairment,Mild Impairment,False
11 (68).jpg,No Impairment,No Impairment,True
11 (72).jpg,No Impairment,Mild Impairment,False
11 (91).jpg,No Impairment,No Impairment,True
11 (94).jpg,No Impairment,Mild Impairment,False
11.jpg,No Impairment,No Impairment,True
12 (16).jpg,No Impairment,Very Mild Impairment,False
12 (2).jpg,No Impairment,Mild Impairment,False
12 (24).jpg,No Impairment,Very Mild Impairment,False
12 (3).jpg,No Impairment,No Impairment,True
12 (31).jpg,No Impairment,Mild Impairment,False
12 (4).jpg,No Impairment,No Impairment,True
12 (59).jpg,No Impairment,No Impairment,True
12 (64).jpg,No Impairment,Moderate Impairment,False
12 (68).jpg,No Impairment,Mild Impairment,False
12 (8).jpg,No Impairment,Mild Impairment,False
12 (80).jpg,No Impairment,Mild Impairment,False
12 (83).jpg,No Impairment,No Impairment,True
12 (89).jpg,No Impairment,No Impairment,True
12 (9).jpg,No Impairment,Moderate Impairment,False
12 (91).jpg,No Impairment,No Impairment,True
12 (95).jpg,No Impairment,Mild Impairment,False
12 (99).jpg,No Impairment,No Impairment,True
13 (100).jpg,No Impairment,Mild Impairment,False
13 (14).jpg,No Impairment,Moderate Impairment,False
13 (21).jpg,No Impairment,Mild Impairment,False
13 (26).jpg,No Impairment,No Impairment,True
13 (27).jpg,No Impairment,Very Mild Impairment,False
13 (32).jpg,No Impairment,Mild Impairment,False
13 (38).jpg,No Impairment,No Impairment,True
13 (42).jpg,No Impairment,No Impairment,True
13 (45).jpg,No Impairment,Mild Impairment,False
13 (48).jpg,No Impairment,Mild Impairment,False
13 (60).jpg,No Impairment,Mild Impairment,False
13 (65).jpg,No Impairment,Mild Impairment,False
13 (67).jpg,No Impairment,Very Mild Impairment,False
13 (69).jpg,No Impairment,Mild Impairment,False
13 (74).jpg,No Impairment,No Impairment,True
13 (94).jpg,No Impairment,Mild Impairment,False
13 (98).jpg,No Impairment,No Impairment,True
14 (100).jpg,No Impairment,Very Mild Impairment,False
14 (15).jpg,No Impairment,Mild Impairment,False
14 (2).jpg,No Impairment,Very Mild Impairment,False
14 (20).jpg,No Impairment,Mild Impairment,False
14 (28).jpg,No Impairment,No Impairment,True
14 (34).jpg,No Impairment,Mild Impairment,False
14 (35).jpg,No Impairment,No Impairment,True
14 (44).jpg,No Impairment,No Impairment,True
14 (48).jpg,No Impairment,Very Mild Impairment,False
14 (51).jpg,No Impairment,No Impairment,True
14 (53).jpg,No Impairment,Very Mild Impairment,False
14 (54).jpg,No Impairment,No Impairment,True
14 (57).jpg,No Impairment,No Impairment,True
14 (58).jpg,No Impairment,No Impairment,True
14 (60).jpg,No Impairment,Mild Impairment,False
14 (79).jpg,No Impairment,Very Mild Impairment,False
14 (83).jpg,No Impairment,No Impairment,True
14 (88).jpg,No Impairment,Moderate Impairment,False
14 (91).jpg,No Impairment,No Impairment,True
14 (97).jpg,No Impairment,Mild Impairment,False
14 (99).jpg,No Impairment,No Impairment,True
15 (18).jpg,No Impairment,Mild Impairment,False
15 (2).jpg,No Impairment,Moderate Impairment,False
15 (23).jpg,No Impairment,Moderate Impairment,False
15 (27).jpg,No Impairment,Mild Impairment,False
15 (3).jpg,No Impairment,Very Mild Impairment,False
15 (33).jpg,No Impairment,No Impairment,True
15 (40).jpg,No Impairment,No Impairment,True
15 (5).jpg,No Impairment,No Impairment,True
15 (55).jpg,No Impairment,Mild Impairment,False
15 (56).jpg,No Impairment,No Impairment,True
15 (66).jpg,No Impairment,Mild Impairment,False
15 (70).jpg,No Impairment,Mild Impairment,False
15 (76).jpg,No Impairment,No Impairment,True
15 (79).jpg,No Impairment,Very Mild Impairment,False
15 (8).jpg,No Impairment,Moderate Impairment,False
15 (84).jpg,No Impairment,Mild Impairment,False
15 (93).jpg,No Impairment,Very Mild Impairment,False
16 (11).jpg,No Impairment,No Impairment,True
16 (12).jpg,No Impairment,No Impairment,True
